Текст	Номер предложения в тексте	Слово	Номер слова	Разметчик	Тэги	Ошибка
 - ( - , - ), Evgenya_old_tagg _A3 2294	9	рублей	9			
 - ( - , - ), Evgenya_old_tagg _A3 2294	10	Я	1			
 - ( - , - ), Evgenya_old_tagg _A3 2294	10	веру	2	Annotator1	constr, qscalque, gov, coord	веру   в   этом   фраза
 - ( - , - ), Evgenya_old_tagg _A3 2294	10	в	3			
 - ( - , - ), Evgenya_old_tagg _A3 2294	10	этом	4			
 - ( - , - ), Evgenya_old_tagg _A3 2294	10	фраза	5			
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	Это	1	Annotator1	constr, calque	Это   интересно
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	интересно	2			
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	когда	3	Annotator1	syntaxcalque	когда
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	Я	4	Annotator1	typo, calque	Я
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	визу	5	Annotator1	morph, typo	визу
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	американьский	6	Annotator1	constr, calque	американьский   людей
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	американьский	6	Annotator1	orpho/phon, gov	американьский
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	людей	7			
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	и	8	Annotator1	syntax	и   как
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	как	9			
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	они	10			
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	не	11			
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	честий	12	Annotator1	orpho, morph	честий
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	с	13	Annotator1	constr, gov	с   друг   друга
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	друг	14			
 - ( - , - ), Evgenya_old_tagg _A3 2294	11	друга	15			
 - ( - , - ), Evgenya_new_tagg _A3 2294	1	Что	1			
 - ( - , - ), Evgenya_new_tagg _A3 2294	1	такой	2	None	coord	такой
 - ( - , - ), Evgenya_new_tagg _A3 2294	1	дург	3	None	typo	дург
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	Это	1			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	хороший	2			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	вопрось	3	None	orpho/phon	вопрось
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	потому	4			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	что	5			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	людей	6	None	gov+typo/constr	людей
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	думают	7			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	об	8			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	этом	9			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	в	10	None	constr+gov	в   одно   страни
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	в	10	Annotator1	constr	в   одно   страни   и   с   другой   страни
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	одно	11	None	gov	одно
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	страни	12	Annotator1	orpho+morph/phon	страни
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	и	13			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	с	14			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	другой	15			
 - ( - , - ), Evgenya_new_tagg _A3 2294	2	страни	16	Annotator1	orpho+morph/phon	страни
 - ( - , - ), Evgenya_new_tagg _A3 2294	3	Я	1			
 - ( - , - ), Evgenya_new_tagg _A3 2294	3	веру	2	Annotator1	morph+phon	веру
 - ( - , - ), Evgenya_new_tagg _A3 2294	3	что	3			
 - ( - , - ), Evgenya_new_tagg _A3 2294	3	человек	4	Annotator1	syntax+constr	человек
 - ( - , - ), Evgenya_new_tagg _A3 2294	3	с	5	Annotator1	constrcalque	с   добром   характерим
 - ( - , - ), Evgenya_new_tagg _A3 2294	3	добром	6	Annotator1	morph	добром
 - ( - , - ), Evgenya_new_tagg _A3 2294	3	характерим	7	Annotator1	morph	характерим
 - ( - , - ), Evgenya_new_tagg _A3 2294	4	И	1			
 - ( - , - ), Evgenya_new_tagg _A3 2294	4	наверется	2	Annotator1	morph+graph+morph+coord	наверется
 - ( - , - ), Evgenya_new_tagg _A3 2294	4	также	3	Annotator1	constrqscalque	также   хобби   как   себя
 - ( - , - ), Evgenya_new_tagg _A3 2294	4	хобби	4			
 - ( - , - ), Evgenya_new_tagg _A3 2294	4	как	5			
 - ( - , - ), Evgenya_new_tagg _A3 2294	4	себя	6	Annotator1	gov+ref	себя
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	На	1	Annotator1	orpho	На   пример
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	пример	2			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	мы	3			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	с	4			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	дрзьями	5	Annotator1	typo	дрзьями
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	играем	6			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	в	7			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	хоккей	8			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	две	9	Annotator1	coord	две   часа
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	часа	10			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	в	11			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	неделю	12			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	которую	13	Annotator1	syntax+constr	которую   нам   навераемся   товарищество   и   наша   хобби
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	нам	14	Annotator1	constr+gov+lex	нам   навераемся
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	навераемся	15			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	товарищество	16	Annotator1	lex	товарищество
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	и	17			
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	наша	18	Annotator1	coord	наша
 - ( - , - ), Evgenya_new_tagg _A3 2294	5	хобби	19			
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	Другь	1	Annotator1	orpho/phon	Другь
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	человек	2			
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	которий	3	Annotator1	morph+phon	которий
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	будет	4			
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	слушать	5			
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	вам	6	Annotator1	gov	вам
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	когда	7			
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	вам	8	Annotator1	constrcalque	вам   надо   ушку
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	надо	9	Annotator1	constr+morph	надо   ушку
 - ( - , - ), Evgenya_new_tagg _A3 2294	6	ушку	10	Annotator1	gov+morph	ушку
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	У	1	Annotator1	morph	У   его
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	его	2			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	чистий	3	Annotator1	lex+morph/phon	чистий
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	характер	4			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	он	5	Annotator1	constrcalque+asp+morph	он   будет   дать   помочь   вам
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	будет	6			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	дать	7			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	помочь	8			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	вам	9			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	когда	10			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	вам	11			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	надо	12			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	помочь	13			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	Я	14	Annotator1	typocalque/not, clear	Я
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	думаю	15			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	что	16			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	славсьий	17	Annotator1	orpho/phon+typo+coord	славсьий
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	славсьий	17	Annotator1	constrcalque	лавсьий   люди
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	люди	18			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	как	19	Annotator1	constrcalque	как
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	русский	20	Annotator1	coord	русский
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	украйнский	21	Annotator1	lex+morph/phon+coord	украйнский
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	белорусский	22	Annotator1	lex+morph+coord	белорусский
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	и	23			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	долгие	24	Annotator1	typo	долгие
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	хорошие	25			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	друзями	26	Annotator1	morph/phon+coord	друзями
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	Они	27	Annotator1	graph	Они
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	как	28			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	одно	29	Annotator1	coord	одно
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	человек	30			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	и	31			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	когда	32			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	будете	33	Annotator1	constr+lex	будете   дург   с   ондом
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	дург	34	Annotator1	typo	дург
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	с	35			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	ондом	36	Annotator1	typo	ондом
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	у	37			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	вас	38			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	дург	39	Annotator1	typo+tense	дург
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	для	40	Annotator1	constrcalque+gov	для   всё   временя
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	всё	41			
 - ( - , - ), Evgenya_new_tagg _A3 2294	7	временя	42	Annotator1	morph/phon	временя
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	Это	1	Annotator1	constrcalque	Это   турдно
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	турдно	2	Annotator1	typo	турдно
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	находеться	3	Annotator1	asp+orpho/morph+morph	находеться
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	хорошие	4	Annotator1	gov	хорошие
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	дузьями	5	Annotator1	gov+typo	дузьями
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	но	6			
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	когда	7			
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	вы	8			
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	дурзей	9	Annotator1	typo	дурзей
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	находетеся	10	Annotator1	asp+tense+orpho/morph+morph	находетеся
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	они	11			
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	лчше	12	Annotator1	typo	лчше
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	лчше	12	Annotator1	constr+gov	лчше   как   рублей
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	как	13			
 - ( - , - ), Evgenya_new_tagg _A3 2294	8	рублей	14			
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	Как	1			
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	Пушкин	2			
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	сказал	3			
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	У	4	Annotator1	constr	У   вас 100   дурзей,   и   не 100   рублей
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	вас	5			
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	дурзей	6	Annotator1	typo	дурзей
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	и	7	Annotator1	syntax	и
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	не	8			
 - ( - , - ), Evgenya_new_tagg _A3 2294	9	рублей	9			
 - ( - , - ), Evgenya_new_tagg _A3 2294	10	Я	1			
 - ( - , - ), Evgenya_new_tagg _A3 2294	10	веру	2	Annotator1	morph+phon	веру
 - ( - , - ), Evgenya_new_tagg _A3 2294	10	веру	2	Annotator1	constrqscalque+gov+coord	веру   в   этом   фраза
 - ( - , - ), Evgenya_new_tagg _A3 2294	10	в	3			
 - ( - , - ), Evgenya_new_tagg _A3 2294	10	этом	4			
 - ( - , - ), Evgenya_new_tagg _A3 2294	10	фраза	5			
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	Это	1	Annotator1	constrcalque	Это   интересно
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	интересно	2			
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	когда	3	Annotator1	syntaxcalque	когда
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	Я	4	Annotator1	graphcalque	Я
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	визу	5	Annotator1	morph+typo	визу
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	американьский	6	Annotator1	orpho/phon+gov	американьский
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	американьский	6	Annotator1	constrcalque	американьский   людей
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	людей	7			
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	и	8	Annotator1	syntax	и   как
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	как	9			
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	они	10			
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	не	11			
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	честий	12	Annotator1	orpho+morph	честий
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	с	13	Annotator1	constr+gov	с   друг   друга
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	друг	14			
 - ( - , - ), Evgenya_new_tagg _A3 2294	11	друга	15			
 - ( - , - ), Ivan_old_tagg _A3 2294	1	Что	1			
 - ( - , - ), Ivan_old_tagg _A3 2294	1	такой	2	Annotator2	coord	такой
 - ( - , - ), Ivan_old_tagg _A3 2294	1	дург	3	Annotator2	typo	дург
 - ( - , - ), Ivan_old_tagg _A3 2294	2	Это	1			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	хороший	2			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	вопрось	3	Annotator2	orpho	вопрось
 - ( - , - ), Ivan_old_tagg _A3 2294	2	потому	4			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	что	5			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	людей	6	Annotator2	gov	людей
 - ( - , - ), Ivan_old_tagg _A3 2294	2	думают	7			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	об	8			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	этом	9	Annotator2	constr	в   одно   страни   и   с   другой   страни.
 - ( - , - ), Ivan_old_tagg _A3 2294	2	в	10			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	одно	11			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	страни	12	Annotator2	orpho	страни
 - ( - , - ), Ivan_old_tagg _A3 2294	2	и	13			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	с	14			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	другой	15			
 - ( - , - ), Ivan_old_tagg _A3 2294	2	страни	16	Annotator2	orpho	страни
 - ( - , - ), Ivan_old_tagg _A3 2294	3	Я	1			
 - ( - , - ), Ivan_old_tagg _A3 2294	3	веру	2	Annotator2	orpho	веру
 - ( - , - ), Ivan_old_tagg _A3 2294	3	что	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	3	человек	4			
 - ( - , - ), Ivan_old_tagg _A3 2294	3	с	5			
 - ( - , - ), Ivan_old_tagg _A3 2294	3	добром	6	Annotator2	orpho	добром
 - ( - , - ), Ivan_old_tagg _A3 2294	3	характерим	7	Annotator2	orpho	характерим
 - ( - , - ), Ivan_old_tagg _A3 2294	4	И	1	Annotator2	not-clear	И   наверется   также   хобби   как   себя.
 - ( - , - ), Ivan_old_tagg _A3 2294	4	наверется	2			
 - ( - , - ), Ivan_old_tagg _A3 2294	4	также	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	4	хобби	4			
 - ( - , - ), Ivan_old_tagg _A3 2294	4	как	5			
 - ( - , - ), Ivan_old_tagg _A3 2294	4	себя	6			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	На	1			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	пример	2			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	мы	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	с	4			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	дрзьями	5			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	играем	6			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	в	7			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	хоккей	8			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	две	9	Annotator2	coord	две
 - ( - , - ), Ivan_old_tagg _A3 2294	5	часа	10			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	в	11			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	неделю	12			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	которую	13	Annotator2	not-clear	которую   нам   навераемся   товарищество   и   наша   хобби
 - ( - , - ), Ivan_old_tagg _A3 2294	5	нам	14			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	навераемся	15			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	товарищество	16			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	и	17			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	наша	18			
 - ( - , - ), Ivan_old_tagg _A3 2294	5	хобби	19			
 - ( - , - ), Ivan_old_tagg _A3 2294	6	Другь	1	Annotator2	orpho	Другь
 - ( - , - ), Ivan_old_tagg _A3 2294	6	человек	2			
 - ( - , - ), Ivan_old_tagg _A3 2294	6	которий	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	6	будет	4			
 - ( - , - ), Ivan_old_tagg _A3 2294	6	слушать	5			
 - ( - , - ), Ivan_old_tagg _A3 2294	6	вам	6	Annotator2	gov	вам
 - ( - , - ), Ivan_old_tagg _A3 2294	6	когда	7			
 - ( - , - ), Ivan_old_tagg _A3 2294	6	вам	8			
 - ( - , - ), Ivan_old_tagg _A3 2294	6	надо	9			
 - ( - , - ), Ivan_old_tagg _A3 2294	6	ушку	10	Annotator2	calque	ушку
 - ( - , - ), Ivan_old_tagg _A3 2294	7	У	1			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	его	2	Annotator2	gov	его
 - ( - , - ), Ivan_old_tagg _A3 2294	7	чистий	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	характер	4			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	он	5			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	будет	6	Annotator2	constr	будет   дать   помочь
 - ( - , - ), Ivan_old_tagg _A3 2294	7	дать	7			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	помочь	8			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	вам	9			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	когда	10			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	вам	11			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	надо	12			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	помочь	13			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	Я	14			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	думаю	15			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	что	16			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	славсьий	17	Annotator2	orpho,, coord	славсьий
 - ( - , - ), Ivan_old_tagg _A3 2294	7	люди	18			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	как	19	Annotator2	qscalque	как
 - ( - , - ), Ivan_old_tagg _A3 2294	7	русский	20	Annotator2	gov	русский,   украйнский,   белорусский
 - ( - , - ), Ivan_old_tagg _A3 2294	7	украйнский	21			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	белорусский	22			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	и	23			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	долгие	24	Annotator2	orpho	долгие
 - ( - , - ), Ivan_old_tagg _A3 2294	7	хорошие	25			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	друзями	26			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	Они	27			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	как	28			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	одно	29	Annotator2	gov	одно
 - ( - , - ), Ivan_old_tagg _A3 2294	7	человек	30	Annotator2	non-clear	и   когда   будете   дург   с   ондом,   у   вас   дург   для   всё   временя.
 - ( - , - ), Ivan_old_tagg _A3 2294	7	и	31			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	когда	32			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	будете	33			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	дург	34			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	с	35			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	ондом	36			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	у	37			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	вас	38			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	дург	39			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	для	40			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	всё	41			
 - ( - , - ), Ivan_old_tagg _A3 2294	7	временя	42			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	Это	1	Annotator2	constr	Это   турдно   находеться   хорошие   дузьями
 - ( - , - ), Ivan_old_tagg _A3 2294	8	турдно	2			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	находеться	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	хорошие	4			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	дузьями	5			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	но	6			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	когда	7			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	вы	8			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	дурзей	9	Annotator2	constr	дурзей   находетеся   они   лчше   как   рублей
 - ( - , - ), Ivan_old_tagg _A3 2294	8	находетеся	10			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	они	11			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	лчше	12			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	как	13			
 - ( - , - ), Ivan_old_tagg _A3 2294	8	рублей	14			
 - ( - , - ), Ivan_old_tagg _A3 2294	9	Как	1			
 - ( - , - ), Ivan_old_tagg _A3 2294	9	Пушкин	2	Annotator2	constr	Пушкин   сказал
 - ( - , - ), Ivan_old_tagg _A3 2294	9	сказал	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	9	У	4	Annotator2	syntax	У   вас 100   дурзей,   и   не 100   рублей
 - ( - , - ), Ivan_old_tagg _A3 2294	9	вас	5			
 - ( - , - ), Ivan_old_tagg _A3 2294	9	дурзей	6	Annotator2	orpho	дурзей
 - ( - , - ), Ivan_old_tagg _A3 2294	9	и	7	Annotator2	syntax	и
 - ( - , - ), Ivan_old_tagg _A3 2294	9	не	8			
 - ( - , - ), Ivan_old_tagg _A3 2294	9	рублей	9			
 - ( - , - ), Ivan_old_tagg _A3 2294	10	Я	1			
 - ( - , - ), Ivan_old_tagg _A3 2294	10	веру	2	Annotator2	orpho	у
 - ( - , - ), Ivan_old_tagg _A3 2294	10	в	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	10	этом	4	Annotator2	gov	этом
 - ( - , - ), Ivan_old_tagg _A3 2294	10	фраза	5	Annotator2	lex	фраза
 - ( - , - ), Ivan_old_tagg _A3 2294	11	Это	1			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	интересно	2			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	когда	3			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	Я	4	Annotator2	calque	Я
 - ( - , - ), Ivan_old_tagg _A3 2294	11	визу	5	Annotator2	orpho, |, typo	визу
 - ( - , - ), Ivan_old_tagg _A3 2294	11	американьский	6	Annotator2	gov, orpho	американьский
 - ( - , - ), Ivan_old_tagg _A3 2294	11	людей	7			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	и	8			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	как	9			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	они	10			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	не	11	Annotator2	morph	не   честий
 - ( - , - ), Ivan_old_tagg _A3 2294	11	честий	12			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	с	13			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	друг	14			
 - ( - , - ), Ivan_old_tagg _A3 2294	11	друга	15	Annotator2	gov	друга
 - ( - , - ), Ivan_new_tagg _A3 2294	1	Что	1			
 - ( - , - ), Ivan_new_tagg _A3 2294	1	такой	2	Annotator2	coord	такой
 - ( - , - ), Ivan_new_tagg _A3 2294	1	дург	3	Annotator2	orpho	дург
 - ( - , - ), Ivan_new_tagg _A3 2294	2	Это	1			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	хороший	2			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	вопрось	3	Annotator2	orpho	вопрось
 - ( - , - ), Ivan_new_tagg _A3 2294	2	потому	4			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	что	5			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	людей	6	Annotator2	gov	людей
 - ( - , - ), Ivan_new_tagg _A3 2294	2	думают	7			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	об	8			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	этом	9			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	в	10	Annotator2	gov	в   одно
 - ( - , - ), Ivan_new_tagg _A3 2294	2	одно	11			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	страни	12	Annotator2	orpho	страни
 - ( - , - ), Ivan_new_tagg _A3 2294	2	и	13			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	с	14			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	другой	15			
 - ( - , - ), Ivan_new_tagg _A3 2294	2	страни	16			
 - ( - , - ), Ivan_new_tagg _A3 2294	3	Я	1			
 - ( - , - ), Ivan_new_tagg _A3 2294	3	веру	2	Annotator2	orpho	веру
 - ( - , - ), Ivan_new_tagg _A3 2294	3	что	3			
 - ( - , - ), Ivan_new_tagg _A3 2294	3	человек	4			
